message_text,language,scam_category,is_phishing
Yaar tu ABC company ke lucky draw mein select hua hai! 5 lakh ka prize claim karne ke liye 98xxxxxx21 pe call kar.,Hinglish,Lottery,1
"Congratulations! Tumhi Rs.2,50,000 chi lottery jinkali aahe. Prize claim karyasathi bit.ly/sample-link var ja.",Marathlish,Lottery,1
"You are selected as winner of BSNL annual lucky draw. Prize: iPhone + Rs.5,00,000. Call 98xxxxxx21 within 24 hrs.",English,Lottery,1
Aapka mobile number ABC Telecom ke bumper lottery mein selected hua. 8 lakh jeetne ke liye abhi register karein: example.com/lucky,Hindi,Lottery,1
"Govt of India ke taraf se aapko Rs.3,00,000 ki lottery mili hai. Claim ke liye kuch details chahiye: bit.ly/sample-link",Hindi,Lottery,1
"Dear Winner, your number was picked in our festive draw. Claim Rs.7,50,000 at example.com/prize. Hurry - 48hrs left!",English,Lottery,1
Teri number ABC monthly lottery mein win hui hai bhai! 2 lakh claim karne ke liye form bharo: bit.ly/sample-link,Hinglish,Lottery,1
"Tumcha number select zala aahe. Rs.1,00,000 chi gift card milel. Turant register kara: example.com/gift",Marathlish,Lottery,1
"WINNER ALERT: You've been selected in the ABC Diwali Bumper Draw. Prize Rs.12,00,000. Claim: bit.ly/sample-link",English,Lottery,1
"We are hiring! Work from home. Earn Rs.50,000/month. No experience needed. Apply now: bit.ly/sample-link. WhatsApp: 98xxxxxx21",English,Job,1
"Ghar baithe kaam karein. Roz Rs.2,000 kamayein. Registration ke liye: example.com/job. Simple typing work.",Hindi,Job,1
"Ghari basat kaam kara. Mahina Rs.30,000 milel. No experience. Apply kara: bit.ly/sample-link",Marathi,Job,1
"Bro part-time job chahiye? Ghar se karo, Rs.1,500 roz milenge. Bas ek baar register karo: example.com/work",Hinglish,Job,1
"Work from home opportunity! Tumhala rojchi Rs.1,000 milel. Sirf mobile lage. Register kara: bit.ly/sample-link",Marathlish,Job,1
Urgent Hiring: Data Entry Executives needed. Salary 40k/month. No qualification required. Apply: example.com/job,English,Job,1
"Aapko ghar baithe online kaam karne ka mauka mil raha hai. Roj 4 ghante karo, 25k mahina pao. Link: bit.ly/sample-link",Hindi,Job,1
"Amazon work from home jobs - earn up to Rs.60,000/month. No degree needed. Register now: example.com/amazon-jobs",English,Job,1
"Part time job chahiye tha na? Dekh yaar, ek app install kar aur roz 2k kama. Simple hai: bit.ly/sample-link",Hinglish,Job,1
"Tumhala navi job milel - Rs.35,000 per month. Ghari basa, phone var kaam kara. Apply kara: example.com/job",Marathlish,Job,1
NOTICE: CBI Digital Arrest - Your mobile number linked to illegal activities. Contact officer immediately: 98xxxxxx21 or face arrest.,English,Digital Arrest,1
Aapka number cybercrime mein use hua hai. Digital arrest writ jaari ho sakta hai. Abhi call karein: 98xxxxxx21,Hindi,Digital Arrest,1
Tumcha mobile number ek illegal transaction madhye aahe. Pune Cyber Police action ghenaar aahe. Call kara: 98xxxxxx21,Marathi,Digital Arrest,1
Bhai gadbad ho gayi hai. Tera number drug case mein aaya hai. CBI officer ne call karna bola hai - 98xxxxxx21,Hinglish,Digital Arrest,1
Tumcha Aadhaar number fraudulent activity madhye detected zala. Arrest warrant ready aahe. Bachanyasathi: 98xxxxxx21,Marathlish,Digital Arrest,1
CYBERCRIME BRANCH: Your IP address has been flagged for accessing illegal websites. Cooperate now or face arrest: 98xxxxxx21,English,Digital Arrest,1
Serious matter hai aapka. Aapke bank account se suspicious transactions detect hue hain. Cyber officer se baat karein: 98xxxxxx21,Hindi,Digital Arrest,1
This is ED office. Your PAN card linked to money laundering. Appear online or face consequences. WhatsApp: 98xxxxxx21,English,Digital Arrest,1
Yaar seriously call kar unhe. CBI wale bol rahe hain tera Aadhaar kisi fraud mein use hua. Number hai: 98xxxxxx21,Hinglish,Digital Arrest,1
Government Digital Arrest order: Tumcha account suspicious aahe. Avoid arrest - turant sampark kara: 98xxxxxx21,Marathlish,Digital Arrest,1
PM Awas Yojana ke tahat aapko muft ghar milega. Abhi apply karein: bit.ly/sample-link. Last date kal hai.,Hindi,Govt Scheme,1
"Tumhala PM Kisan yojane madhun Rs.6,000 milel. Abhi register kara: example.com/kisan. Aaj shevtachi tarikh.",Marathlish,Govt Scheme,1
Free gas cylinder scheme is live. Apply before deadline: bit.ly/sample-link. Govt of India initiative. 98xxxxxx21,English,Govt Scheme,1
Yojana mein naam darz karo - sarkar de rahi hai 2 lakh rupaye direct bank mein. Register karo: example.com/yojana,Hinglish,Govt Scheme,1
"Pradhan Mantri Rojgar Yojana mein aapko 50,000 ka loan milega. Abhi apply karein: bit.ly/sample-link",Hindi,Govt Scheme,1
"Maharashtra Ration Card update scheme - register now at example.com/ration to receive Rs.1,500 monthly benefit.",English,Govt Scheme,1
Sarkar free laptop de rahi hai students ko. Form bharo abhi: bit.ly/sample-link. Limited seats available.,Hinglish,Govt Scheme,1
Sarkari yojanantun tumhala mofat mobile milel. Turant register kara: example.com/mobile. Ajchi shevtachi tarikh!,Marathi,Govt Scheme,1
"Mahila Samman Yojana - women get Rs.1,000/month. Register your Aadhaar now at bit.ly/sample-link to avail benefit.",English,Govt Scheme,1
Aapke bacche ko free coaching milegi PM scheme ke under. Register karein: example.com/coaching. Deadline: kal,Hindi,Govt Scheme,1
"Instant personal loan approved! Rs.5,00,000 without documents. Disburse in 10 minutes. Apply: bit.ly/sample-link",English,Loan,1
Aapko 3 lakh ka pre-approved loan mil raha hai. Sirf ek form bharo: example.com/loan. No documents needed.,Hindi,Loan,1
"Tumhala Rs.2,00,000 personal loan milel tatkaal. Kahi documents nahi. Apply kara: bit.ly/sample-link",Marathlish,Loan,1
Bhai bina documents ke 1 lakh ka loan chahiye? Yeh dekh - 5 minute mein disburse hoga: example.com/loan,Hinglish,Loan,1
Low interest home loan available now! No CIBIL check. Apply at bit.ly/sample-link. Offer ends today!,English,Loan,1
"Aapka loan application approved ho gaya hai. Amount: Rs.4,50,000. Fees bharne ke baad disburse hoga: 98xxxxxx21",Hindi,Loan,1
"Tumhala business loan milel Rs.10,00,000 paryant. Koi guarantee nahi. Apply: example.com/business-loan",Marathi,Loan,1
"Your pre-approved ABC Bank loan of Rs.3,50,000 is waiting. Complete process now: bit.ly/sample-link or call 98xxxxxx21",English,Loan,1
"Zero interest loan available for farmers - Rs.1,00,000. Apply now: bit.ly/sample-link. Govt supported scheme.",English,Loan,1
Yaar tera loan approve ho gaya hai. Bas processing fee de 500 rupaye - phir kal tak paisa aa jayega: 98xxxxxx21,Hinglish,Loan,1
"ALERT: Rs.45,000 has been debited from your ABC Bank account. If unauthorized, click immediately: bit.ly/sample-link",English,UPI Fraud,1
"Aapke UPI se Rs.12,000 debit ho gaye hain. Transaction reverse karne ke liye: example.com/upi-help. Jaldi karein!",Hindi,UPI Fraud,1
"Tumchya account madhun Rs.8,500 UPI ne debit zale. Agar tumhi kele naste tar bit.ly/sample-link var klik kara.",Marathi,UPI Fraud,1
Bro tera 5000 ka UPI transaction hua hai abhi! Tune kiya kya? Nahi toh jaldi cancel kar: example.com/cancel,Hinglish,UPI Fraud,1
"Tumchya PhonePe account madhun Rs.3,200 gelya. Refund sathi turant ithe click kara: bit.ly/sample-link",Marathlish,UPI Fraud,1
"UPI payment of Rs.75,000 initiated from your account. To reverse, verify immediately at example.com/upi",English,UPI Fraud,1
"Ek collect request send ki gayi hai tumhare account se Rs.20,000 ke liye. Decline karne ke liye: bit.ly/sample-link",Hindi,UPI Fraud,1
Send Rs.1 on this UPI ID to confirm your account: 98xxxxxx21@upi. This is required for KYC verification.,English,UPI Fraud,1
Tera PhonePe account hack ho sakta hai. Abhi verify kar: example.com/verify warna sab paisa chala jayega.,Hinglish,UPI Fraud,1
Tumcha Google Pay suspend honar aahe. Account bachavnyasathi bit.ly/sample-link var OTP verify kara.,Marathlish,UPI Fraud,1
Your parcel from XYZ Courier is on hold due to unpaid customs duty. Pay Rs.299 at bit.ly/sample-link to release.,English,Courier/Parcel,1
Aapka courier hold par hai. Custom duty Rs.150 pay karne ke baad deliver hoga. Payment: example.com/courier,Hindi,Courier/Parcel,1
Tumcha parcel XYZ Courier kade aahe. Rs.200 customs duty bharlyavar deliver hoil. Pay kara: bit.ly/sample-link,Marathi,Courier/Parcel,1
Bhai tera Amazon package stuck hai customs mein. 499 pay kar release hoga: example.com/release,Hinglish,Courier/Parcel,1
Tumcha parcel arrived aahe but address confirm nahi zala. Ithe kara: bit.ly/sample-link warna parcel return hoil.,Marathlish,Courier/Parcel,1
XYZ Courier: Your package AWB#9821 requires additional address verification. Update at example.com/address,English,Courier/Parcel,1
Aapka parcel deliver hone wala hai par door lock tha. Re-schedule karne ke liye: bit.ly/sample-link pe click karein.,Hindi,Courier/Parcel,1
Delivery failed - recipient unavailable. Pay Rs.50 redelivery fee at example.com/redeliver within 24hrs.,English,Courier/Parcel,1
Tera parcel XYZ warehouse mein hai. Storage fee lag rahi hai Rs.100/day. Abhi claim kar: bit.ly/sample-link,Hinglish,Courier/Parcel,1
Tumcha important parcel customs la adkla aahe. Rs.350 bharle tar kal milel. Link: example.com/customs,Marathlish,Courier/Parcel,1
"ALERT: Your ABC Bank account has been temporarily blocked. To reactivate, verify here: bit.ly/sample-link",English,Banking,1
Aapke ABC Bank account mein suspicious activity detect hui. Account safe karne ke liye: example.com/secure,Hindi,Banking,1
Tumcha ABC Bank account blocked aahe. Unblock karyasathi bit.ly/sample-link var click kara aani verify kara.,Marathi,Banking,1
Bhai tera account block ho gaya hai. Jaldi login kar iss link se: example.com/login warna permanent ho jayega.,Hinglish,Banking,1
ABC Bank: Tumcha account 24 tasyat band honar. Activate karyasathi: bit.ly/sample-link. Urgently!,Marathlish,Banking,1
Your net banking password has expired. Reset it immediately to avoid account freeze: example.com/reset,English,Banking,1
Aapka cheque bounce hua hai. Legal action se bachne ke liye turant contact karein: 98xxxxxx21,Hindi,Banking,1
ABC Bank customer: Your debit card is blocked due to suspicious use. Reactivate at bit.ly/sample-link.,English,Banking,1
Bank account mein kuch gadbad lag rahi hai yaar. Ek baar check kar is link se: example.com/check,Hinglish,Banking,1
Tumchya savings account madhye unauthorized access detect zala. Turant secure kara: bit.ly/sample-link,Marathlish,Banking,1
Your mobile recharge of Rs.199 has failed. Recharge again with cashback offer: bit.ly/sample-link. Limited time!,English,Recharge,1
Aapka recharge process nahi hua. Dubara karein aur Rs.50 cashback paaein: example.com/recharge,Hindi,Recharge,1
Tumcha Rs.299 plan activate nahi zala. Parat recharge kara aani 100 ka cashback mila: bit.ly/sample-link,Marathlish,Recharge,1
Bhai tera recharge failed hai apparently. Iss link se kar - 20% extra data milega: example.com/recharge,Hinglish,Recharge,1
FREE 3-month recharge offer! Click now to activate: bit.ly/sample-link. Valid only for selected customers.,English,Recharge,1
Aapka Jio number deactivate hone wala hai. Abhi recharge karein: example.com/jio. Offer sirf aaj.,Hindi,Recharge,1
Last chance! Free Rs.500 recharge waiting for you. Claim now: bit.ly/sample-link. Expires in 1 hour.,English,Recharge,1
Tumcha number port honar aahe dusrya company la. Rokayache asel tar ithe click kara: example.com/retain,Marathi,Recharge,1
Yaar 2GB free data chahiye? Iss link pe apna number verify kar: bit.ly/sample-link. Daily offer hai.,Hinglish,Recharge,1
Your number has been selected for complimentary recharge. Validate at example.com/offer to receive Rs.299 free.,English,Recharge,1
"Invest Rs.5,000 and earn Rs.50,000 in 30 days! Guaranteed returns. Join now: bit.ly/sample-link",English,Investment,1
Apna paisa double karein sirf 15 din mein! Safe and guaranteed. Register karein: example.com/invest,Hindi,Investment,1
"Rs.10,000 invest kara, Rs.1,00,000 mila 60 divsat. Guaranteed return. Join kara: bit.ly/sample-link",Marathi,Investment,1
Bhai stock market se roz 2000 kama! Special tips group mein join ho - free trial: example.com/tips,Hinglish,Investment,1
Daily 5% return milel. Tumcha paisa safe aahe. Invest kara: bit.ly/sample-link. Limited slots!,Marathlish,Investment,1
"Crypto investment opportunity: Rs.1,000 invest karo, Rs.15,000 pao in 7 days! Refer and earn more: example.com/crypto",English,Investment,1
"Special trading bot hai jo automatically profit karta hai. Rs.3,000 se shuru karo: bit.ly/sample-link",Hindi,Investment,1
Earn 30% monthly returns with our exclusive investment club. Only 10 spots left: example.com/club,English,Investment,1
Share market mein bina risk ke paisa lagao! Expert tips free mein: bit.ly/sample-link. Whatsapp group join karo.,Hinglish,Investment,1
"Mutual fund alternative - 200% annual returns guaranteed. Start with Rs.2,000: example.com/returns",English,Investment,1
Your ABC Bank OTP for today's transaction is 847621. Valid for 10 minutes. Do not share this OTP with anyone.,English,None,0
Aapka UPI transaction successful hua. Rs.500 XYZ store ko pay kiya gaya. Transaction ID: TXN8821.,Hindi,None,0
Tumcha recharge successful zala. Rs.239 plan 28 dinasathi active aahe. Enjoy 1.5GB/day + unlimited calls.,Marathi,None,0
Kal 7 baje meeting hai office mein. Sab prepare rehna. Agenda mail mein bhej raha hoon.,Hinglish,None,0
Bhai birthday party Saturday la aahe. 6 PM la ye. Potluck aahe - kahi tari ghun ye.,Marathlish,None,0
"Your electricity bill of Rs.1,240 for March has been received. Payment confirmed. Ref: MSEB2024893.",English,None,0
Aaj raat ghar aate waqt doodh le aana. Ghar mein khatam ho gaya hai.,Hindi,None,0
Teams meeting 4 PM la aahe aaj. Link calendar mein aahe. Please join on time.,Marathlish,None,0
"Dear Customer, your ABC Bank statement for March is now available. Login to net banking to view.",English,None,0
Bhai kal interview hai - 10 AM. Formals pehenna aur resume print kar lena. All the best!,Hinglish,None,0
Your order #ORD4521 from XYZ Shopping has been shipped. Expected delivery: 2-3 working days.,English,None,0
"Aaj doctor appointment hai 11 baje. Time pe pohoncho, pahle registration karana padega.",Hindi,None,0
Tumhi sangitlelya tyala bolawa - kal 5 la jeva la ya. Aayi khaas jeval banvnaar aahe.,Marathi,None,0
Office lunch kal planned hai. 1:30 PM la canteen mein. Yeu shakta ka confirm kar.,Marathlish,None,0
Your XYZ Courier package will be delivered today between 2 PM and 6 PM. Track: example.com/track,English,None,0
"Aapke account mein salary credited ho gayi hai. Amount: Rs.42,500. Date: 01-Apr-2024.",Hindi,None,0
Kal school mein sports day aahe. Mulana uniform mhanun colourful dress ghala sangitlay.,Marathlish,None,0
FYI - kal se petrol price badh gayi hai. Fill up karo aaj hi gaadi.,Hinglish,None,0
Reminder: Annual health checkup scheduled for tomorrow at 9 AM. Carry Aadhaar and insurance card.,English,None,0
"Bhai train mein hun, 1 ghante mein pohonch jaunga. Station pe aajao ya auto le lo.",Hinglish,None,0
"Your SBI account transaction: Rs.1,000 debited for EMI payment on 5-Apr. Balance: Rs.18,340.",English,None,0
Aaj subah se light nahi hai apur. MSEB ko complaint karo ya app pe report karo.,Marathi,None,0
Meeting cancel ho gayi kal ki. New schedule decide hone par bataunga. Sorry for the inconvenience.,Hindi,None,0
Paani udi ghara. Bhaji ani bread pan ana. Ratrichya jewanat lagtil.,Marathi,None,0
"Your Fixed Deposit of Rs.50,000 has matured. Please visit the branch or renew online via netbanking.",English,None,0
"Gadi service ke liye booking confirm ho gayi. 15-Apr, 10 AM, XYZ Service Center. Carry RC book.",Hinglish,None,0
Beti ka result aaya - 92 marks! Tuition teacher ko thank you bolo. Celebration tonight.,Hindi,None,0
"Your premium of Rs.3,200 for ABC Insurance has been auto-debited. Policy remains active.",English,None,0
Aaj rat lekhrach ya. Baba bhetayche aahe baryach diwasani. Kai nahi aanlat tari chalel.,Marathlish,None,0
"ABC Bank: Dear Customer, your debit card was used at XYZ Petrol Pump for Rs.1,800 on 6-Apr.",English,None,0
Aaj raat dinner mein biryani bana rahi hun. Ghar jaldi aana okay? 8 baje ready ho jayegi.,Hindi,None,0
Your Aadhaar e-KYC is already verified with ABC Bank. No further action required from your end.,English,None,0
Yaar kya kar raha hai? Kal cricket match hai building ke neeche. Aa sakta hai 5 baje?,Hinglish,None,0
Project submission kal subah 10 vajeparyant kara. Report PDF format mein mail kara.,Marathlish,None,0
"Your monthly ABC Bank mini statement: Opening bal Rs.12,000. Credits: Rs.42,500. Closing: Rs.38,200.",English,None,0
Aaj raste band aahet area madhye. Dusrya route ne ya. Google Maps var check kara.,Marathlish,None,0
"Bhai tera Jio recharge kal expire hoga. 239 wala plan le le, 1.5GB roz milta hai.",Hinglish,None,0
Reminder: Your ABC Insurance renewal is due on 30-Apr. Visit branch or renew online.,English,None,0
Aaj ghar par koi nahi hai. Ghar ki chabi shejwali auntie ke paas hai. Usse le lena.,Hindi,None,0
"Your PF amount of Rs.85,000 has been successfully transferred to your ABC Bank account.",English,None,0
Kal pratham test aahe mulichi. Syllabus aajach cover hoil na? Please check if she's prepared.,Marathlish,None,0
Bhai kal gadi nahi chalegi - bandh aahe area mein. Office ke liye metro le le ya WFH kar.,Hinglish,None,0
Aapke naam par ek speed chalaan register hua hai. View and pay online via traffic.example.com within 15 days.,Hindi,None,0
Your dividend of Rs.450 from ABC Mutual Fund has been credited to your registered bank account.,English,None,0
Aaj paus padel - umbrella gheun ya. Mulacha school soda karnyachi vel tya time la paus asnar.,Marathi,None,0
Library mein aaj books jama karne ka last date hai. Fine lage us se pehle kar dena.,Hindi,None,0
Reminder from XYZ Hospital: Your appointment with Dr. Sharma is tomorrow at 11:30 AM. Please confirm.,English,None,0
Kholi ki rent 5 tarikh la yena. Baki outstanding settle kara. Baaki issues bol - bolu.,Marathlish,None,0
Aaj raat 9 PM ko online class hai Chemistry ki. Zoom link teacher ne WhatsApp group mein share kiya hai.,Hindi,None,0
"Your registered mobile number has been updated on ABC Bank records. If not done by you, call 1800xxxxxxx.",English,None,0
"Bro project mein meri help chahiye kya? Kal free hoon, aaun tere ghar if okay?",Hinglish,None,0
"Tumcha ABC Bank FD interest Rs.2,340 credit zala account madhe. Half-yearly update. Balance check kara.",Marathlish,None,0
Subah se pani nahi aa raha building mein. Society ne WhatsApp group pe update dile aahe - check karo.,Hindi,None,0
Today's office pantry will be closed for maintenance. Lunch can be arranged from nearby canteen.,English,None,0
Aaj shopping la jaychay ka? Phoenix mall la discounts aahet - end of season sale aahe.,Marathi,None,0
Society meeting aahe Sunday la 11 baje. Maintenance charges aur security chya vishayavar bolnar aahet.,Marathlish,None,0
Bhai kal college bandh hai. Teachers' day ki wajah se holiday declared hai. Ghar raho.,Hinglish,None,0
"Your annual bonus of Rs.25,000 has been processed and will reflect in your April salary.",English,None,0
Aapka ITR file karne ki last date 31 July hai. Accountant se baat karein jaldi.,Hindi,None,0
Parcel deliver hua ghar par. Maine sign kar diya. Table par rakha hai.,Hindi,None,0
Ekyada baaher ja. Bazar madhun caha chi patti ghun ye - sampli aahe ghari.,Marathi,None,0
Weekend trip ka plan cancel hua yaar. Baarish ki wajah se hotel ne refund kar diya.,Hinglish,None,0
Your vehicle insurance with ABC Insurance expires on 30-Apr. Renew to avoid penalty and lapse.,English,None,0
Ladakicha graduation aahe 15 tarkhela. Ye nakki. Party afterwards aahe restaurant mein.,Marathlish,None,0
Aaj mausam bahut kharab hai. School se time pe aa jayein. Rain is expected till evening.,Hindi,None,0
"Bro kal interview diya tha, result aya - selected ho gaya! Joining letter 2 weeks mein milega.",Hinglish,None,0
"Your EMI of Rs.8,500 for ABC Bank car loan has been auto-debited. Next due: 5-May.",English,None,0
Society mein lift maintenance aahe kal. Skalyavar jayche asel tar steps ghyav lagtil.,Marathlish,None,0
Subah office mein important client presentation hai. Slides ready kar aaj raat hi.,Hindi,None,0
Petrol pump wale ne sahi nahi diya - check karo receipt mein. Kal ek baar jaana ho sakta hai.,Hinglish,None,0
"Your ABC Bank credit card bill of Rs.12,450 is due on 15-Apr. Pay to avoid late charges.",English,None,0
Aaj paus mule train late aahe. 20 minutes delay aahe. Track 4 var yet aahe.,Marathi,None,0
"Aaj nahi aaunga office, tabyat theek nahi hai. Team ko bol dena. Calls forward kar dena.",Hindi,None,0
Bhai yaar kya hua? Last week se call nahi utha raha. Sab theek hai na?,Hinglish,None,0
Your gym membership at ABC Fitness expires on 20-Apr. Renew before that to avail current rates.,English,None,0
Aaj college fest aahe - last day. Yeto ka? 3 vajeparyant free aahe mala.,Marathlish,None,0
Kal subah ghar se nikal jaana. Aane mein 2 ghante lagenge. Lunch ghar par hi karenge.,Hindi,None,0
Bhai teri train kal subah 6:20 AM ki hai. PNR confirm hai. Station 30 min pehle pohonch.,Hinglish,None,0
Important: Your vehicle PUC certificate expires on 28-Apr. Renew to avoid traffic challan.,English,None,0
Aaj baajar bandh aahe - hartal aahe. Ghari kahi lagle tar online order kar.,Marathi,None,0
"Team lunch aahe kal - 1:30 la ABC restaurant. Menu already decided aahe, just come.",Marathlish,None,0
"Yaar aaj match hai 9 PM ka India vs Australia. Ghar aa ja dekhne, popcorn main launga.",Hinglish,None,0
Your subscription to ABC OTT Platform has been renewed for 1 year. Amount Rs.499 debited.,English,None,0
Ghar ka internet slow chal raha hai. Router restart karo ek baar. Warna provider ko call karo.,Hindi,None,0
Ek baar ghar ya - aai ne bulawlya aahet. Wadhdiwas aahe tyancha aaj.,Marathi,None,0
Reminder: Quarterly tax payment due by 15-Apr. Check your advance tax liability with your CA.,English,None,0
Aaj raat 10 PM la building society meeting aahe emergency. All residents ye.,Marathlish,None,0
Kya yaar kal ki trip cancel karte ho? Hotel ka refund policy check karo pehle.,Hinglish,None,0
"Your NEFT transfer of Rs.15,000 to account ending 8821 was successful. Ref: NEFT20240406.",English,None,0
Bhai college mein kal fest hai. Pass chahiye kya? Main nikal sakta hoon tere liye ek.,Hinglish,None,0
Aaj school early dismiss honar - 1 PM la. Mulala pick up kara please.,Marathlish,None,0
Raat ka khana banana nahi hai aaj. Bahar se order karte hain. Kya chahiye batao.,Hindi,None,0
"Your ABC Bank account balance as on 6-Apr-2024 is Rs.27,450. Auto-generated message.",English,None,0
Project deadline aaj ratri 12 chi aahe. Submit kara. Kahi problem asel tar Slack var sanga.,Marathlish,None,0
Delhi mein job interview ke liye jaana hai agle hafte. Flights book karo advance mein.,Hindi,None,0
"ABC Bank: Transaction of Rs.250 at XYZ Medical Store on 6-Apr successful. Avail. Bal: Rs.8,220.",English,None,0
Aaj raat sab log ghar pe aahe? Ek gappa-goshti chalti - movie baghuyat ya kahitari karuya.,Marathlish,None,0
Reminder: File your GST return for Q4 by 30-Apr. Penalty applicable after deadline.,English,None,0
Bhai gym chal aaj 6 baje? Trainer ne naya workout plan diya hai this week.,Hinglish,None,0
Mala aaj khup kami zop mili. Office mein important meeting aahe pan energy nahi aahe.,Marathi,None,0
"Salary credit: Rs.55,000 credited to ABC Bank account on 1-Apr. Check your statement.",English,None,0
Ghar pe guest aane wale hain kal. Ghar saaf karo aur bazaar se kuch nashta le aao.,Hindi,None,0
Kal sathi table book keli aahe restaurant mein - 7:30 PM. 4 janchis confirmation aahe.,Marathlish,None,0
Bhai tera driving license renewal due hai. RTO mein online slot book kar jaldi.,Hinglish,None,0
Your passport application status has been updated. Please login to example.com/passport to check.,English,None,0
Aaj raat 9 baje company ka town hall aahe online. Zoom link HR ne bheja aahe mail mein.,Marathi,None,0
Yaar ek kaam hai - mera assignment print karke laa de kal aate waqt. Please!,Hinglish,None,0
"Your ABC Mutual Fund SIP of Rs.3,000 has been processed for April. NAV units allotted.",English,None,0
Baaher jaanyapuri lunch tayar aahe - ghar ya lavkar. Hot pot mein varan-bhat thaevlay.,Marathi,None,0
Kal engineering department ki team outing hai. Bus 9 AM ko niklengi office se.,Hindi,None,0
Aaj dinner karo kaa? Near ABC restaurant la - navi branch aahe. Good reviews aahet.,Marathlish,None,0
Bhai kal ka presentation ready hai? Slides double check karo - client important hai yaar.,Hinglish,None,0
"Dear Customer, your ABC Bank locker is due for annual rent. Rs.1,500 will be auto-debited on 10-Apr.",English,None,0
"URGENT: Your electricity connection will be permanently disconnected in 2 hours due to non-payment of Rs.3,450. Pay now: bit.ly/sample-link or call 98xxxxxx21",English,Utility,1
Ye message sirf aapke liye hai - aapka account suspicious activity ki wajah se review mein hai. Verify karein: example.com/verify,Hindi,KYC,1
Ek important notice aahe tumhyasathi. Tumcha PAN card deactivate honar aahe. Turant link kara: bit.ly/sample-link,Marathlish,KYC,1
"You have been selected for a Govt housing subsidy of Rs.2,80,000. Register before 10-Apr: bit.ly/sample-link",English,Govt Scheme,1
Bhai teri parcel mein kuch illegal item nikla. Customs ne hold kiya. Call karo: 98xxxxxx21,Hinglish,Courier/Parcel,1
Tumcha loan application pre-approved aahe. 0% interest. Processing fee sirf Rs.499. Apply: example.com/loan,Marathlish,Loan,1
"Rs.98,000 unauthorized transaction detected in your ABC Bank account. Freeze immediately: bit.ly/sample-link",English,Banking,1
